ElementName,s,betax,betay,alphax,alphay,etax,etay,xAperture,yAperture,xmin,xmax,ymin,ymax,sigma_x,sigma_y,Particles,Cx,Cy,Charge,ElementCodes
_BEG_,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10000.0,10000.0,,,,,,,50000,2.0,-5.0,0.0,38
Q,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10000.0,10000.0,,,,,,,50000,2.0,-5.0,5.4e-10,25
W1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,35
MA2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,21
LM01L0,0.05,2.00125,2.00125,-0.025,-0.025,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.1,2.005,2.005,-0.05,-0.05,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.15,2.01125,2.01125,-0.075,-0.075,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.2,2.02,2.02,-0.1,-0.1,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.25,2.03125,2.03125,-0.125,-0.125,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.3,2.045000000000001,2.045000000000001,-0.15,-0.15,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.35,2.061250000000001,2.061250000000001,-0.175,-0.175,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.4,2.080000000000001,2.080000000000001,-0.2,-0.2,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.45,2.101250000000002,2.101250000000002,-0.225,-0.225,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.4999999999999999,2.125000000000002,2.125000000000002,-0.2499999999999999,-0.2499999999999999,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.5499999999999999,2.151250000000002,2.151250000000002,-0.2749999999999999,-0.2749999999999999,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.6,2.180000000000002,2.180000000000002,-0.2999999999999999,-0.2999999999999999,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.65,2.211250000000002,2.211250000000002,-0.3249999999999998,-0.3249999999999998,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.7000000000000001,2.245000000000002,2.245000000000002,-0.3499999999999998,-0.3499999999999998,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.7500000000000001,2.281250000000003,2.281250000000003,-0.3749999999999998,-0.3749999999999998,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.8000000000000002,2.320000000000003,2.320000000000003,-0.3999999999999997,-0.3999999999999997,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.8500000000000002,2.361250000000003,2.361250000000003,-0.4249999999999997,-0.4249999999999997,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.9000000000000002,2.405000000000003,2.405000000000003,-0.4499999999999997,-0.4499999999999997,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,0.9500000000000004,2.451250000000003,2.451250000000003,-0.4749999999999996,-0.4749999999999996,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
LM01L0,1.0,2.500000000000004,2.500000000000004,-0.4999999999999996,-0.4999999999999996,0.0,0.0,100.0,100.0,,,,,,,50000,2.0,-5.0,5.4e-10,15
Q1L0,1.045,2.451831306367238,2.642578418026469,1.556933635978536,-2.708115059982023,0.0,-2.278347248280175e-06,99.9999999743679,99.99773583971661,,,,,,,50000,1.962428560874445,-5.092256295500028,5.4e-10,26
Q1L0,1.09,2.226740693388076,2.999801523053482,3.382080110470081,-5.329656987663928,0.0,-9.285401682350732e-06,99.99999958209679,99.9908577550616,,,,,,,50000,1.851127653136032,-5.372517760175095,5.4e-10,26
Q1L0,1.135,1.858238333271635,3.626203788731631,4.703722305387903,-8.764836203836568,0.0,-2.154695154246753e-05,99.99999781714072,99.97910569809562,,,,,,,50000,1.670285333715454,-5.851397348789202,5.4e-10,26
Q1L0,1.18,1.401184699244805,4.617413178010592,5.325101870997397,-13.53807480721957,0.0,-3.997230252524433e-05,99.99999279342451,99.96203534480246,,,,,,,50000,1.426706120684659,-6.54702996852108,5.4e-10,26
LL0L1,1.24,0.8375973318680483,6.385656992837828,4.068020918615217,-15.93265543990104,0.0,-6.919324685369475e-05,99.99997917699793,99.93546628801712,,,,,,,50000,1.063941157961999,-7.629778672361889,5.4e-10,5
LL0L1,1.3,0.4248596787771531,8.441250483586842,2.810939966233036,-18.32723607258252,0.0,-9.841419118214518e-05,99.99995850141902,99.90889723123179,,,,,,,50000,0.7011761952393398,-8.712527376202697,5.4e-10,5
Q1L1,1.345,0.2062987167810718,10.46095977584509,1.997360129408377,-27.00260527515183,0.0,-0.0001233893151681048,99.99993672142577,99.88750239627429,,,,,,,50000,0.4200092038892462,-9.659614385889077,5.4e-10,27
Q1L1,1.39,0.07247412243049008,13.39940005646223,0.9467558002543608,-38.94700056205101,0.0,-0.0001554589724579392,99.99990578209228,99.86272810678531,,,,,,,50000,0.1263532975412839,-10.89711586390213,5.4e-10,27
Q1L1,1.435,0.03926671064210718,17.61230877472145,-0.2161989806840476,-55.60645054261394,0.0,-0.0001963326260972439,99.9998619377883,99.83383013726942,,,,,,,50000,-0.17100461747113319,-12.46227840790725,5.4e-10,27
Q1L1,1.48,0.1106171678273639,23.60971480933852,-1.353497670422749,-78.99780418315737,0.0,-0.0002481083987555603,99.99979988055382,99.79994038591113,,,,,,,50000,-0.4631690465383257,-14.402216299886138,5.4e-10,27
